week,menu_name,subtotal,quantity,構成比
2026-W08,歓送迎会コース飲み放題,144000.0,18,8.402086518152007
2026-W08,梅肝重30％オフ,137200.0,38,8.005321321461496
2026-W08,ランチ麻布しきコース,126000.0,18,7.351825703383007
2026-W08,うな重 梅,109200.0,26,6.371582276265272
2026-W08,うな重 竹,46400.0,8,2.7073389891823134
2026-W08,お通し,43560.0,66,2.541631171740982
2026-W08,しょうが焼き定食,38400.0,20,2.2405564048405355
2026-W08,とり天定食,36300.0,29,2.1180259764508187
2026-W08,歓送迎会コース,36000.0,6,2.100521629538002
2026-W08,TO)うな重 松,34500.0,5,2.0129998949739187
2026-W08,鰻玉丼定食,33000.0,12,1.925478160409835
2026-W08,うな重 梅 定食,29700.0,9,1.7329303443688517
2026-W08,鰻満喫コース飲み放題,28000.0,2,1.633739045196224
2026-W08,うな重 松,27600.0,4,1.6103999159791347
2026-W08,チキン南蛮定食,26400.0,20,1.540382528327868
2026-W08,角ハイボール,25600.0,28,1.4937042698936902
2026-W08,自家製レモンサワー,24600.0,27,1.435356446850968
2026-W08,サバ定食,24000.0,20,1.4003477530253348
2026-W08,鰻満喫コース,24000.0,2,1.4003477530253348
2026-W08,ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ,23870.0,31,1.3927625360297808
